img,MSE,PSNR,SSIM,CosSimilarity
ColorReduce_4,13.2063,0.9604,86.9230,0.4891
im_scaled_2.5,23.0748,0.9381,84.4994,0.1608
im_scaled_2,21.6685,0.9405,84.7725,0.2094
im_scaled_1.6,20.0782,0.9429,85.1036,0.2693
im_scaled_1.25,19.0043,0.9464,85.3423,0.3064
im_scaled_0.8,19.1551,0.9470,85.3080,0.2875
im_scaled_0.625,20.1713,0.9426,85.0835,0.2345
im_scaled_0.5,21.3179,0.9371,84.8434,0.1737
im_scaled_0.4,22.2445,0.9295,84.6586,0.1097
im_scaled_0.25,21.4597,0.9267,84.8146,0.0412
im_scaled_0.2,20.3255,0.9279,85.0504,0.0163
GaussNoise_std_0.1,21.3627,0.9426,84.8343,0.2162
GaussNoise_std_0.3,21.8974,0.9383,84.7269,0.2005
GaussNoise_std_0.5,21.3728,0.9343,84.8322,0.2018
GaussNoise_std_0.7,23.7087,0.9294,84.3817,0.1347
GaussNoise_std_0.9,23.3893,0.9267,84.4406,0.1201
GaussNoise_std_1.1,23.1812,0.9256,84.4794,0.1280
SaltPepperNoise_0.02,10.2699,0.9756,88.0151,0.6658
SaltPepperNoise_0.04,11.0107,0.9729,87.7127,0.6427
SaltPepperNoise_0.06,11.8207,0.9699,87.4044,0.6190
SaltPepperNoise_0.08,11.6385,0.9685,87.4718,0.6180
SaltPepperNoise_0.10,11.7210,0.9666,87.4412,0.6173
SaltPepperNoise_0.12,12.1046,0.9639,87.3013,0.5988
SpeckleNoise_0.2,22.7791,0.9384,84.5554,0.1672
SpeckleNoise_0.3,22.3662,0.9381,84.6349,0.1751
SpeckleNoise_0.4,22.6388,0.9385,84.5823,0.1783
SpeckleNoise_0.5,22.1901,0.9391,84.6692,0.1894
SpeckleNoise_0.6,22.7127,0.9377,84.5681,0.1690
SpeckleNoise_0.7,22.9245,0.9377,84.5278,0.1692
GaussBlur_5,18.4471,0.9492,85.4715,0.3333
GaussBlur_7,20.5170,0.9468,85.0097,0.2646
GaussBlur_9,22.5531,0.9445,84.5987,0.2002
GaussBlur_11,24.0307,0.9419,84.3231,0.1561
GaussBlur_13,25.1309,0.9396,84.1287,0.1285
GaussBlur_15,26.3756,0.9367,83.9188,0.0934
ColorReduce_32,11.7019,0.9738,87.4482,0.6247
ColorReduce_16,11.6600,0.9739,87.4638,0.6253
ColorReduce_8,11.9288,0.9736,87.3648,0.6167
ColorReduce_4,12.6924,0.9723,87.0954,0.5931
im_scaled_2.5,27.0148,0.9546,83.8148,0.2712
im_scaled_2,26.6819,0.9539,83.8686,0.2662
im_scaled_1.6,25.1982,0.9545,84.1171,0.2882
im_scaled_1.25,23.0532,0.9564,84.5035,0.3310
im_scaled_0.8,19.7991,0.9559,85.1643,0.3806
im_scaled_0.625,20.9110,0.9495,84.9271,0.3336
im_scaled_0.5,23.3022,0.9437,84.4568,0.2344
im_scaled_0.4,24.8166,0.9384,84.1834,0.1628
im_scaled_0.25,24.0930,0.9314,84.3119,0.0719
im_scaled_0.2,22.7251,0.9332,84.5657,0.0482
GaussNoise_std_0.1,19.9586,0.9558,85.1295,0.3825
GaussNoise_std_0.3,20.5953,0.9452,84.9931,0.3538
GaussNoise_std_0.5,20.8520,0.9385,84.9393,0.3388
GaussNoise_std_0.7,21.0219,0.9352,84.9041,0.3310
GaussNoise_std_0.9,22.0440,0.9318,84.6979,0.2953
GaussNoise_std_1.1,22.3372,0.9305,84.6405,0.2872
SaltPepperNoise_0.02,12.4816,0.9663,87.1681,0.6416
SaltPepperNoise_0.04,12.8391,0.9634,87.0454,0.6300
SaltPepperNoise_0.06,13.7006,0.9599,86.7634,0.6068
SaltPepperNoise_0.08,13.6658,0.9578,86.7745,0.6028
SaltPepperNoise_0.10,14.1181,0.9561,86.6330,0.5898
SaltPepperNoise_0.12,14.4210,0.9552,86.5409,0.5822
SpeckleNoise_0.2,20.9601,0.9499,84.9169,0.3560
SpeckleNoise_0.3,21.4435,0.9489,84.8178,0.3374
SpeckleNoise_0.4,21.3928,0.9496,84.8281,0.3404
SpeckleNoise_0.5,21.5303,0.9493,84.8003,0.3368
SpeckleNoise_0.6,21.5097,0.9493,84.8045,0.3352
SpeckleNoise_0.7,21.3122,0.9495,84.8445,0.3442
GaussBlur_5,22.0634,0.9540,84.6941,0.3374
GaussBlur_7,23.4826,0.9505,84.4233,0.2958
GaussBlur_9,24.5017,0.9477,84.2388,0.2649
GaussBlur_11,25.4057,0.9450,84.0815,0.2397
GaussBlur_13,25.6687,0.9429,84.0368,0.2309
GaussBlur_15,26.4137,0.9405,83.9125,0.2080
ColorReduce_32,14.2139,0.9677,86.6037,0.5918
ColorReduce_16,15.0977,0.9687,86.3417,0.5722
ColorReduce_8,15.0934,0.9687,86.3429,0.5725
ColorReduce_4,15.3375,0.9685,86.2733,0.5642
im_scaled_2.5,21.9926,0.9529,84.7080,0.1889
im_scaled_2,20.6966,0.9536,84.9718,0.2193
im_scaled_1.6,18.6491,0.9557,85.4242,0.2765
im_scaled_1.25,16.5045,0.9583,85.9548,0.3391
im_scaled_0.8,15.2790,0.9581,86.2898,0.3735
im_scaled_0.625,16.9104,0.9540,85.8493,0.3151
im_scaled_0.5,17.8367,0.9490,85.6177,0.2582
im_scaled_0.4,19.0037,0.9426,85.3424,0.1815
im_scaled_0.25,18.7306,0.9380,85.4053,0.0885
im_scaled_0.2,16.5401,0.9462,85.9454,0.0683
GaussNoise_std_0.1,14.9560,0.9588,86.3827,0.3787
GaussNoise_std_0.3,14.9411,0.9556,86.3870,0.3861
GaussNoise_std_0.5,15.2900,0.9504,86.2867,0.3660
GaussNoise_std_0.7,15.6338,0.9457,86.1901,0.3500
GaussNoise_std_0.9,16.2951,0.9434,86.0102,0.3337
GaussNoise_std_1.1,18.2998,0.9396,85.5063,0.2462
SaltPepperNoise_0.02,7.3528,0.9806,89.4663,0.7263
SaltPepperNoise_0.04,7.4665,0.9787,89.3996,0.7212
SaltPepperNoise_0.06,7.8421,0.9768,89.1865,0.7070
